GENESIS-Tabelle: 46251-0020
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
01.01.2022;07317;Pirmasens, kreisfreie Stadt;27243;1795;-;1711;23209;15764;6240;24;1616;707;426;-;65;361;173;212;3149;1719;84
01.01.2022;07318;Speyer, kreisfreie Stadt;34794;2819;-;2727;29686;19552;8649;15;1818;763;295;-;85;210;161;463;3313;1578;119
01.01.2022;07319;Worms, kreisfreie Stadt;55185;4116;-;3964;46360;31407;12717;21;3100;1376;1349;-;345;1004;239;506;6022;2935;789
01.01.2022;07320;Zweibrücken, kreisfreie Stadt;25550;1951;-;1890;21425;14181;6068;28;1374;556;553;-;97;456;219;270;3525;1944;163
01.01.2022;07331;Alzey-Worms, Landkreis;110974;9702;-;9354;87526;55666;27961;23;5737;2310;7426;-;248;7178;560;1332;15047;8030;344
01.01.2022;07332;Bad Dürkheim, Landkreis;111943;9612;-;9330;92141;60770;26784;128;5057;2269;4563;-;373;4190;442;1485;13823;7313;602
01.01.2022;07333;Donnersbergkreis;64051;5719;-;5444;51184;31872;17065;100;2889;1208;3824;-;150;3674;335;688;11011;6348;237
01.01.2022;07334;Germersheim, Landkreis;103378;8995;-;8766;84031;52858;26983;74;5329;2470;4473;-;686;3787;476;1178;15370;8496;1087
01.01.2022;07335;Kaiserslautern, Landkreis;85155;7216;-;6921;69647;45753;20642;159;4682;2103;3065;-;135;2930;386;871;15151;8985;208
01.01.2022;07336;Kusel, Landkreis;59422;5165;-;4860;47902;31401;14739;20;2449;1159;3617;-;33;3584;269;737;11870;7292;74
01.01.2022;07337;Südliche Weinstraße, Landkreis;101009;8987;-;8708;78235;50729;24032;221;5319;2512;7692;-;232;7460;555;1426;13847;7804;386
01.01.2022;07338;Rhein-Pfalz-Kreis;124492;11474;-;11175;102928;70935;27524;60;6020;2611;3585;-;749;2836;425;1498;14218;7444;1188
01.01.2022;07339;Mainz-Bingen, Landkreis;174610;14643;-;14156;143469;91056;45251;86;7971;3110;7745;-;457;7288;696;2172;19732;10090;749
01.01.2022;07340;Südwestpfalz, Landkreis;84709;8077;-;7709;67917;43956;21117;180;3755;1682;4522;-;142;4380;258;1096;14736;8736;298
01.01.2022;08111;Stuttgart, kreisfreie Stadt;352124;26692;-;25973;302792;197259;72696;366;17458;5752;2841;-;687;2154;1975;3818;19214;8587;1001
01.01.2022;08115;Böblingen, Landkreis;304054;25490;-;24886;257554;162486;70455;323;12106;4331;7696;-;468;7228;885;4014;30185;16393;805
01.01.2022;08116;Esslingen, Landkreis;407963;37895;-;36993;337566;223696;92231;366;19369;7523;11325;-;1141;10184;1442;5579;44662;24714;1738
01.01.2022;08117;Göppingen, Landkreis;207278;18641;-;18179;168923;109087;50610;171;10436;4021;8403;-;516;7887;704;2792;25935;14197;864
01.01.2022;08118;Ludwigsburg, Landkreis;405399;35830;-;35003;336361;232423;83192;205;19895;7859;11742;-;1261;10481;1366;4884;41606;22500;1830
01.01.2022;08119;Rems-Murr-Kreis;332013;30085;-;29340;269889;183648;70807;354;17194;6445;13352;-;708;12644;1139;4346;40538;22932;1037
01.01.2022;08121;Heilbronn, kreisfreie Stadt;81181;4960;-;4823;68897;44885;20066;104;4929;1935;1943;-;896;1047;348;650;7223;3801;1128
01.01.2022;08125;Heilbronn, Landkreis;306590;25336;-;24609;250335;157155;74841;214;14065;5843;15572;-;1244;14328;1068;3437;41065;24083;1737
01.01.2022;08126;Hohenlohekreis;109918;9700;-;9397;85062;45448;34247;111;4712;2017;9811;-;519;9292;522;1102;16472;10108;965
01.01.2022;08127;Schwäbisch Hall, Landkreis;175183;15503;-;15021;133486;77236;49896;451;8964;3870;16030;-;626;15404;749;2011;29533;18210;953
01.01.2022;08128;Main-Tauber-Kreis;120016;10570;-;10113;91107;53488;33324;99;5493;2359;12225;-;192;12033;522;1194;18359;11792;305
01.01.2022;08135;Heidenheim, Landkreis;105702;9478;-;9249;86138;54333;28068;88;4521;1907;4998;-;324;4674;479;1537;15819;8757;572
01.01.2022;08136;Ostalbkreis;263230;24187;-;23521;209222;128183;70674;302;12006;4790;16459;-;947;15512;1054;3676;39373;22846;1599
01.01.2022;08211;Baden-Baden, kreisfreie Stadt;42992;3301;-;3223;35872;21796;11591;64;2525;1038;990;-;136;854;240;453;4169;2367;341
01.01.2022;08212;Karlsruhe, kreisfreie Stadt;167629;12714;-;12407;142078;88179;43479;496;9752;3701;1496;-;472;1024;1093;2498;13976;6933;614
01.01.2022;08215;Karlsruhe, Landkreis;346829;29645;-;28795;285944;186135;84814;215;17712;7741;11969;-;1289;10680;1344;4410;50735;29905;1835
01.01.2022;08216;Rastatt, Landkreis;187325;17297;-;16819;153239;97833;47281;111;8748;3797;7287;-;730;6557;643;2463;29378;18147;1324
01.01.2022;08221;Heidelberg, kreisfreie Stadt;71123;4944;-;4832;61361;38752;18572;76;3641;1389;709;-;60;649;392;1088;4444;2131;102
01.01.2022;08222;Mannheim, kreisfreie Stadt;182819;12188;-;11741;155172;98949;46245;160;12699;5032;1415;-;702;713;1185;1582;12667;5353;1322
01.01.2022;08225;Neckar-Odenwald-Kreis;122025;10473;-;9996;96537;59126;32966;83;5712;2483;8643;-;239;8404;577;1357;22204;13612;433
01.01.2022;08226;Rhein-Neckar-Kreis;422561;33622;-;32707;357113;231861;103505;171;19762;8429;10316;-;951;9365;1577;5056;42561;23202;1704
01.01.2022;08231;Pforzheim, kreisfreie Stadt;72684;4787;-;4634;63433;41683;18264;63;3477;1348;611;-;67;544;313;639;5855;2943;202
01.01.2022;08235;Calw, Landkreis;135144;11825;-;11493;107927;65716;36344;155;7208;3258;7367;-;479;6888;662;1850;21842;12483;762
01.01.2022;08236;Enzkreis;166018;16073;-;15669;135308;90103;38306;129;7448;3114;6588;-;657;5931;472;2344;26294;15360;1117
01.01.2022;08237;Freudenstadt, Landkreis;100497;9184;-;8883;79060;46471;28638;175;4699;1919;6881;-;249;6632;498;1310;16636;10276;489
01.01.2022;08311;Freiburg im Breisgau, kreisfreie Stadt;113573;8908;-;8709;95436;57237;32511;366;6919;2712;1428;-;97;1331;516;3078;8183;3726;152
01.01.2022;08315;Breisgau-Hochschwarzwald, Landkreis;207115;17627;-;17089;162568;101327;53229;171;11550;4736;13884;-;588;13296;1315;3964;29426;16522;1218
01.01.2022;08316;Emmendingen, Landkreis;132830;11911;-;11562;104392;66847;32288;96;7073;3141;8710;-;350;8360;648;2222;19175;11372;677
01.01.2022;08317;Ortenaukreis;352650;30677;-;29752;278823;175369;91064;521;19487;8867;21532;-;1771;19761;1610;4675;56707;33561;3043
01.01.2022;08325;Rottweil, Landkreis;122761;11273;-;10905;96045;57973;33583;76;5852;2260;8880;-;428;8452;635;1800;21054;12615;690
01.01.2022;08326;Schwarzwald-Baar-Kreis;165840;14402;-;14068;134231;83594;43315;181;8371;3000;7966;-;360;7606;689;2345;21913;11909;584
01.01.2022;08327;Tuttlingen, Landkreis;113988;10338;-;10017;91126;54839;31135;96;5126;1949;6871;-;328;6543;431;1619;18241;10356;550
01.01.2022;08335;Konstanz, Landkreis;204646;21264;-;20695;164538;108339;46872;179;9706;4092;8122;-;337;7785;837;3851;27046;13188;828
01.01.2022;08336;Lörrach, Landkreis;172144;15984;-;15492;138838;91247;40339;68;8388;3603;8187;-;147;8040;679;2773;20464;11466;356
01.01.2022;08337;Waldshut, Landkreis;140561;12347;-;11957;109778;70150;34607;126;7163;2878;10432;-;408;10024;715;1953;21457;11719;807
01.01.2022;08415;Reutlingen, Landkreis;227732;20142;-;19656;182826;118185;55066;233;11067;4246;12586;-;506;12080;878;3344;34740;21290;920
01.01.2022;08416;Tübingen, Landkreis;157177;14034;-;13744;128908;80975;40755;208;6630;2558;6862;-;183;6679;535;2637;22318;13388;305
01.01.2022;08417;Zollernalbkreis;165175;14373;-;13928;130656;83207;41148;105;8336;3210;10888;-;547;10341;817;2117;27979;16444;886
01.01.2022;08421;Ulm, kreisfreie Stadt;80906;6170;-;6044;67689;39799;23434;368;4637;1798;1566;-;423;1143;476;1152;7992;3627;939
01.01.2022;08425;Alb-Donau-Kreis;172046;16582;-;15977;132009;80243;46117;245;7921;3139;14397;-;662;13735;892;2265;29852;17130;992
01.01.2022;08426;Biberach, Landkreis;178422;16636;-;16082;135106;78877;50511;157;9892;3658;15675;-;910;14765;956;2360;33728;19469;1463
01.01.2022;08435;Bodenseekreis;181534;21273;-;20766;141254;88550;44269;162;8199;3063;9938;-;205;9733;708;3375;21871;11058;392
01.01.2022;08436;Ravensburg, Landkreis;241885;24627;-;23812;184737;109812;66497;244;13149;5057;18057;-;970;17087;1071;4420;38599;21240;1494
01.01.2022;08437;Sigmaringen, Landkreis;116915;11317;-;10982;88794;52566;31972;135;5589;2207;10437;-;415;10022;643;1558;22394;13344;723
01.01.2022;09161;Ingolstadt, kreisfreie Stadt;111775;8795;-;8594;96916;54044;27638;246;3660;1308;1535;-;137;1398;623;1220;9160;4834;192
01.01.2022;09162;München, kreisfreie Stadt;869565;68352;-;66889;744826;430158;229533;1473;44429;12762;4749;-;682;4067;5736;14220;42612;17599;859
01.01.2022;09163;Rosenheim, kreisfreie Stadt;43244;3796;-;3697;35741;21499;12415;34;2597;866;651;-;24;627;425;766;3902;1660;40
01.01.2022;09171;Altötting, Landkreis;93836;9554;-;9211;72851;44262;25298;125;4615;1630;6129;-;226;5903;562;1344;15278;8293;499
01.01.2022;09172;Berchtesgadener Land, Landkreis;84625;8658;-;8418;66479;41115;22360;104;3901;1411;5017;-;115;4902;466;1515;10659;5791;352
01.01.2022;09173;Bad Tölz-Wolfratshausen, Landkreis;106864;11009;-;10666;82046;48064;29846;34;6248;2157;6931;-;119;6812;596;2232;14395;7623;223
01.01.2022;09174;Dachau, Landkreis;122463;13462;-;13035;95221;58858;31294;161;6730;2365;6266;-;368;5898;623;1900;16385;9004;664
01.01.2022;09175;Ebersberg, Landkreis;109727;10739;-;10433;86929;52509;29268;171;5564;2049;5847;-;321;5526;477;1835;12303;6518;491
01.01.2022;09176;Eichstätt, Landkreis;115206;13161;-;12619;86201;51113;31398;129;4763;1909;10387;-;367;10020;565;1612;20658;12020;558
01.01.2022;09177;Erding, Landkreis;120926;12232;-;11731;91189;53068;33225;175;6287;2487;10290;-;340;9950;753;1479;17225;9828;628
01.01.2022;09178;Freising, Landkreis;143971;14666;-;14178;110729;63121;41512;177;8382;3373;9203;-;501;8702;814;1951;18260;10049;1064
01.01.2022;09179;Fürstenfeldbruck, Landkreis;154422;15477;-;15073;125139;79940;38483;164;8341;2948;4647;-;138;4509;654;2900;17858;9128;243
01.01.2022;09180;Garmisch-Partenkirchen, Landkreis;70323;7925;-;7737;53211;32663;17946;43;3935;1422;4848;-;59;4789;361;1948;9279;4990;314
01.01.2022;09181;Landsberg am Lech, Landkreis;109254;12124;-;11711;83726;48468;30399;120;4916;1822;7887;-;216;7671;481;2284;17298;9315;424
01.01.2022;09182;Miesbach, Landkreis;87351;9308;-;9043;67334;39547;23920;54;5072;1643;5114;-;166;4948;469;1675;11110;5690;240
01.01.2022;09183;Mühldorf am Inn, Landkreis;102106;10150;-;9569;76420;45289;27486;129;5488;2048;9322;-;288;9034;597;1332;17709;10187;568
01.01.2022;09184;München, Landkreis;289338;23759;-;23282;238718;135044;80537;407;19261;5327;5259;-;733;4526;1934;4155;22239;10123;1305
01.01.2022;09185;Neuburg-Schrobenhausen, Landkreis;89848;9630;-;9176;66766;39449;24398;98;4742;1949;8122;-;433;7689;490;1059;17149;9968;814
01.01.2022;09186;Pfaffenhofen an der Ilm, Landkreis;114756;12888;-;12408;85870;48902;32819;60;5908;2444;9550;-;621;8929;480;1398;19322;10731;901
01.01.2022;09187;Rosenheim, Landkreis;229023;23581;-;22818;175351;105149;61388;209;12512;4320;16315;-;960;15355;1055;4450;34384;17555;1638
01.01.2022;09188;Starnberg, Landkreis;109272;10801;-;10547;89156;53818;29095;77;5239;1695;3466;-;148;3318;533;2098;13264;5995;227
01.01.2022;09189;Traunstein, Landkreis;158297;15635;-;15134;119533;71793;42276;175;7942;2942;14036;-;623;13413;976;3032;25541;13607;1062
01.01.2022;09190;Weilheim-Schongau, Landkreis;120179;12845;-;12432;90065;54536;31476;81;6067;2241;10603;-;171;10432;518;3011;18693;10248;290
01.01.2022;09261;Landshut, kreisfreie Stadt;45424;4074;-;3980;38362;22790;13386;77;1967;828;762;-;43;719;182;625;4072;2078;56
01.01.2022;09262;Passau, kreisfreie Stadt;36458;3392;-;3302;29437;17772;9671;78;2424;871;867;-;126;741;260;423;4721;2284;204
01.01.2022;09263;Straubing, kreisfreie Stadt;33685;2372;-;2266;27938;17131;9202;52;2219;838;682;-;90;592;422;311;3700;1833;126
01.01.2022;09271;Deggendorf, Landkreis;108090;10636;-;10026;80029;45938;30632;167;6462;2283;10144;-;357;9787;652;922;19005;10849;812
01.01.2022;09272;Freyung-Grafenau, Landkreis;78905;9685;-;8989;53778;31012;20631;123;3625;1387;11257;-;175;11082;437;697;13621;7841;325
01.01.2022;09273;Kelheim, Landkreis;110038;11378;-;10825;82212;46271;32445;232;5685;2160;9978;-;438;9540;553;1054;18111;10285;814
01.01.2022;09274;Landshut, Landkreis;150723;15239;-;14428;111553;61618;44377;167;8405;3363;14542;-;443;14099;817;1792;26869;16164;805
01.01.2022;09275;Passau, Landkreis;180526;19743;-;18698;131273;80809;44723;315;8823;3609;19498;-;672;18826;874;1628;33879;19767;1205
01.01.2022;09276;Regen, Landkreis;72242;7660;-;7075;50961;29574;19208;88;3543;1146;9611;-;90;9521;379;618;12824;7584;249
01.01.2022;09277;Rottal-Inn, Landkreis;121032;12092;-;11246;84589;49376;31701;206;7058;2782;16267;-;374;15893;820;1247;23866;14641;763
01.01.2022;09278;Straubing-Bogen, Landkreis;99040;9753;-;9001;70359;40952;26726;103;4850;1933;13444;-;338;13106;531;851;19275;11776;562
01.01.2022;09279;Dingolfing-Landau, Landkreis;94419;9178;-;8645;70594;38632;28268;139;4264;1868;9775;-;628;9147;469;976;18376;11553;1068
01.01.2022;09361;Amberg, kreisfreie Stadt;29813;2213;-;2142;25239;15941;7788;44;1547;555;633;-;109;524;137;330;3227;1693;189
01.01.2022;09362;Regensburg, kreisfreie Stadt;99517;7322;-;7162;82465;49148;27310;372;7066;2715;1399;-;534;865;893;1221;7756;3244;820
01.01.2022;09363;Weiden in der Oberpfalz, kreisfreie Stadt;31795;2563;-;2453;26399;16615;8385;41;1875;656;733;-;126;607;184;323;3693;1911;106
01.01.2022;09371;Amberg-Sulzbach, Landkreis;96493;9678;-;9176;71386;43307;25085;197;4235;1786;10548;-;237;10311;449;1032;16568;10064;470
01.01.2022;09372;Cham, Landkreis;131666;14477;-;13517;90340;53634;33339;140;7524;3304;18337;-;393;17944;848;819;24458;15575;622
01.01.2022;09373;Neumarkt in der Oberpfalz, Landkreis;124996;13144;-;12528;90971;53417;33472;191;7205;2432;12795;-;531;12264;690;1353;20399;11783;878
01.01.2022;09374;Neustadt an der Waldnaab, Landkreis;90866;9732;-;9089;65831;39769;23487;57;3784;1573;10935;-;351;10584;527;767;16199;9862;599
01.01.2022;09375;Regensburg, Landkreis;170130;18544;-;17764;128940;77862;44766;242;8749;3213;12816;-;830;11986;839;1866;27394;15803;1251
01.01.2022;09376;Schwandorf, Landkreis;140547;15981;-;15185;102467;59313;38995;129;6553;2613;14561;-;1092;13469;856;1088;26317;16334;1515
01.01.2022;09377;Tirschenreuth, Landkreis;68830;7511;-;7027;49197;30738;16725;91;3248;1215;8319;-;356;7963;464;461;12606;7961;553
01.01.2022;09461;Bamberg, kreisfreie Stadt;50864;4595;-;4496;41052;25143;13545;79;3193;1423;1036;-;548;488;909;730;4878;2160;932
01.01.2022;09462;Bayreuth, kreisfreie Stadt;48233;3463;-;3324;40242;25267;12472;71;3101;1059;790;-;159;631;566;541;4048;2061;187
01.01.2022;09463;Coburg, kreisfreie Stadt;29771;2539;-;2484;25074;16018;7661;58;1561;524;360;-;31;329;179;306;2625;1346;77
01.01.2022;09464;Hof, kreisfreie Stadt;30781;2290;-;2225;25800;17810;6662;56;1664;711;709;-;179;530;262;283;3446;1624;356
01.01.2022;09471;Bamberg, Landkreis;136822;14137;-;13623;103030;63127;35990;138;7041;3230;11935;-;422;11513;541;1662;21452;12201;654
01.01.2022;09472;Bayreuth, Landkreis;100053;10312;-;9631;72372;45316;24270;188;4310;1795;12130;-;245;11885;741;980;15302;9429;362
01.01.2022;09473;Coburg, Landkreis;75989;7200;-;6929;59649;39750;17346;25;3549;1645;5229;-;378;4851;337;685;11889;6801;665
01.01.2022;09474;Forchheim, Landkreis;104108;10714;-;10288;79040;49979;25619;234;4431;1912;9213;-;244;8969;476;1424;13732;7881;386
01.01.2022;09475;Hof, Landkreis;84090;7497;-;7216;64310;42334;19354;91;4479;1968;7079;-;342;6737;634;730;14725;8752;514
01.01.2022;09476;Kronach, Landkreis;60283;5987;-;5678;45909;29900;14362;49;2908;1348;4998;-;289;4709;432;399;10338;6000;433
01.01.2022;09477;Kulmbach, Landkreis;66255;6231;-;5999;50247;31728;16149;81;3447;1354;5936;-;267;5669;313;670;10821;6449;413
01.01.2022;09478;Lichtenfels, Landkreis;60347;5986;-;5775;45295;29083;14587;79;3294;1481;5351;-;210;5141;342;530;9660;5927;350
01.01.2022;09479;Wunsiedel im Fichtelgebirge, Landkreis;60606;5884;-;5643;47495;31362;14177;70;2626;919;4196;-;129;4067;335;596;9319;5728;199
01.01.2022;09561;Ansbach, kreisfreie Stadt;31170;2575;-;2498;25653;15805;8383;27;1497;616;1242;-;83;1159;176;387;3547;1864;108
01.01.2022;09562;Erlangen, kreisfreie Stadt;65425;5351;-;5229;56024;35083;17637;73;2828;1049;836;-;57;779;313;1202;4803;2119;64
01.01.2022;09563;Fürth, kreisfreie Stadt;76248;6269;-;6087;64475;41773;19078;142;4191;1602;871;-;205;666;300;1047;5876;2646;228
01.01.2022;09564;Nürnberg, kreisfreie Stadt;296114;23104;-;22478;247825;153711;79017;639;19602;7683;3512;-;1386;2126;1432;3860;22844;10092;2101
01.01.2022;09565;Schwabach, kreisfreie Stadt;31658;2898;-;2813;26499;17279;7560;23;1574;532;530;-;45;485;134;484;2915;1483;46
01.01.2022;09571;Ansbach, Landkreis;178354;17276;-;16518;128094;76314;46756;212;8710;3739;23016;-;620;22396;1046;2095;31006;18917;1122
01.01.2022;09572;Erlangen-Höchstadt, Landkreis;114363;10357;-;10035;93138;57167;30410;133;4464;2001;5859;-;385;5474;412;1884;14300;7405;519
01.01.2022;09573;Fürth, Landkreis;96616;9748;-;9441;78238;52260;22397;38;4705;1840;3558;-;139;3419;329;1487;10787;5376;191
01.01.2022;09574;Nürnberger Land, Landkreis;142501;14373;-;13960;112370;71263;35343;73;6737;2553;8330;-;359;7971;618;2293;17308;9153;482
01.01.2022;09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;95571;8825;-;8341;68931;40050;25887;97;4840;2283;12380;-;275;12105;498;1160;16472;9579;466
01.01.2022;09576;Roth, Landkreis;117306;12335;-;11899;88121;53445;30525;141;6415;2469;9670;-;749;8921;624;1694;17872;9628;950
01.01.2022;09577;Weißenburg-Gunzenhausen, Landkreis;87129;8414;-;7973;63598;38105;22736;114;3938;1702;10564;-;322;10242;501;1226;15148;8795;555
01.01.2022;09661;Aschaffenburg, kreisfreie Stadt;51533;3628;-;3528;43157;27352;12861;103;3862;1429;507;-;97;410;276;570;4182;2148;137
01.01.2022;09662;Schweinfurt, kreisfreie Stadt;34343;2167;-;2113;29489;17172;10170;44;2009;792;385;-;183;202;249;451;3364;1532;230
01.01.2022;09663;Würzburg, kreisfreie Stadt;78637;6170;-;6003;64743;39549;20657;101;5951;2913;913;-;175;738;759;1060;6474;3016;352
01.01.2022;09671;Aschaffenburg, Landkreis;147112;12680;-;12270;119210;75806;37064;141;8564;3485;5857;-;380;5477;660;1771;21237;12161;578
01.01.2022;09672;Bad Kissingen, Landkreis;94508;8445;-;8082;71609;41355;27453;140;4933;1910;8827;-;297;8530;554;1497;16923;10139;550
01.01.2022;09673;Rhön-Grabfeld, Landkreis;73983;6946;-;6530;55300;30024;22680;93;3625;1751;7552;-;122;7430;467;979;14892;9161;244
01.01.2022;09674;Haßberge, Landkreis;79590;7640;-;7227;59309;32513;24444;105;3876;1802;8186;-;243;7943;474;1101;14473;8610;421
01.01.2022;09675;Kitzingen, Landkreis;82950;7722;-;7364;62562;37489;22100;169;4366;2102;7608;-;478;7130;523;932;13197;7509;782
01.01.2022;09676;Miltenberg, Landkreis;108780;8837;-;8468;87479;53130;29834;120;6610;2611;5256;-;191;5065;478;1339;16962;9919;323
01.01.2022;09677;Main-Spessart, Landkreis;113600;10921;-;10438;86495;51779;30787;224;5912;2635;9461;-;292;9169;587;1449;19168;11583;464
01.01.2022;09678;Schweinfurt, Landkreis;101855;10027;-;9587;79252;47868;27756;138;4311;1995;7589;-;722;6867;538;1755;18526;10279;1338
01.01.2022;09679;Würzburg, Landkreis;137016;13389;-;12965;108093;67154;35124;44;6524;2962;8375;-;322;8053;591;1971;18860;10600;573
01.01.2022;09761;Augsburg, kreisfreie Stadt;164660;12815;-;12479;140439;89794;41461;325;8914;3169;1390;-;243;1147;777;2354;12086;5423;337
01.01.2022;09762;Kaufbeuren, kreisfreie Stadt;30557;2643;-;2558;26025;16711;7951;57;1329;464;411;-;28;383;92;599;3499;1771;40
01.01.2022;09763;Kempten (Allgäu), kreisfreie Stadt;48225;4020;-;3924;40131;24284;13453;75;2536;974;999;-;87;912;464;867;4490;2065;97
01.01.2022;09764;Memmingen, kreisfreie Stadt;32327;2432;-;2366;27212;16498;9351;16;1672;662;838;-;140;698;157;406;3816;2004;219
01.01.2022;09771;Aichach-Friedberg, Landkreis;119688;13619;-;13133;89057;55275;29363;176;7095;2943;9114;-;363;8751;627;1782;20122;11239;626
01.01.2022;09772;Augsburg, Landkreis;216913;21900;-;21143;169334;108603;51731;272;11993;4796;12484;-;749;11735;930;3423;34289;18699;1383
01.01.2022;09773;Dillingen an der Donau, Landkreis;89814;8695;-;8327;66810;40868;23050;46;4690;2081;9100;-;424;8676;473;933;18550;11002;776
01.01.2022;09774;Günzburg, Landkreis;114051;10736;-;10254;86306;51487;31218;148;6434;2570;9647;-;547;9100;780;1179;21587;12056;1022
01.01.2022;09775;Neu-Ulm, Landkreis;140153;13752;-;13388;112354;71752;35518;143;6945;2868;6367;-;669;5698;592;1913;21565;11513;1203
01.01.2022;09776;Lindau (Bodensee), Landkreis;70696;8665;-;8462;53376;33269;17755;52;3324;1326;4996;-;90;4906;283;1361;9439;5117;136
01.01.2022;09777;Ostallgäu, Landkreis;131555;13752;-;13040;94576;57415;32871;50;6323;2150;16228;-;423;15805;626;2349;24003;13661;939
01.01.2022;09778;Unterallgäu, Landkreis;139495;14457;-;13769;101617;61637;36166;115;6786;2618;15781;-;327;15454;739;1647;25271;15341;669
01.01.2022;09779;Donau-Ries, Landkreis;127060;12139;-;11595;93723;55330;33905;124;6252;2713;14028;-;567;13461;794;1414;24545;14992;972
01.01.2022;09780;Oberallgäu, Landkreis;139869;15518;-;14978;103738;62823;36453;245;7119;2500;12534;-;256;12278;715;2875;21994;12470;408
01.01.2022;10041;Regionalverband Saarbrücken, Landkreis;228346;18453;-;17913;192940;128595;54384;504;13108;5697;2296;-;374;1922;1045;2130;24170;12246;640
01.01.2022;10042;Merzig-Wadern, Landkreis;89695;7334;-;6988;72679;44392;25271;176;4327;1879;4765;-;268;4497;414;981;15556;8319;763
01.01.2022;10043;Neunkirchen, Landkreis;103608;8557;-;8210;87245;59422;23816;138;5344;2237;1966;-;158;1808;358;1021;15288;8336;238
01.01.2022;10044;Saarlouis, Landkreis;160109;13019;-;12559;134354;90363;37998;208;7738;3506;4043;-;485;3558;747;1585;21777;11783;808
01.01.2022;10045;Saarpfalz-Kreis;117845;9445;-;9166;98681;65033;28847;135;6130;2703;2954;-;479;2475;500;1342;17730;9364;663
01.01.2022;10046;Sankt Wendel, Landkreis;77091;7336;-;7037;62369;40547;19104;34;3390;1443;3662;-;155;3507;300;951;13939;7741;303
01.01.2022;11000;Berlin, kreisfreie Stadt;1489458;113939;-;111551;1241793;875707;274223;2309;114693;41951;7296;-;3932;3364;9428;16734;99402;41438;2676
01.01.2022;12051;Brandenburg an der Havel, kreisfreie Stadt;41459;2514;-;2450;35077;24673;8617;40;3118;1239;446;-;171;275;264;437;6993;3324;252
01.01.2022;12052;Cottbus, kreisfreie Stadt;58384;3473;-;3399;49062;35228;11533;123;4555;1700;760;-;187;573;411;406;8141;4633;266
01.01.2022;12053;Frankfurt (Oder), kreisfreie Stadt;34662;2096;-;2045;28366;20929;6163;37;3482;951;440;-;84;356;241;193;4113;2174;135
01.01.2022;12054;Potsdam, kreisfreie Stadt;90552;6001;-;5889;77538;52519;20257;174;5903;2071;489;-;134;355;447;1077;8333;3666;323
01.01.2022;12060;Barnim, Landkreis;135179;12154;-;11842;108875;74756;28590;195;10740;4541;2495;-;457;2038;720;1766;26152;13956;609
01.01.2022;12061;Dahme-Spreewald, Landkreis;135794;11211;-;10941;107311;70745;30936;208;11610;5066;4517;-;813;3704;937;1430;28987;16279;822
01.01.2022;12062;Elbe-Elster, Landkreis;82554;6366;-;6092;63445;42445;18824;128;6985;3561;4933;-;297;4636;697;549;19343;12489;444
01.01.2022;12063;Havelland, Landkreis;119942;10436;-;10152;96174;64849;26293;139;9761;4084;2601;-;445;2156;831;1508;25211;12588;592
01.01.2022;12064;Märkisch-Oderland, Landkreis;151595;13609;-;13233;119661;82047;31932;145;13163;5797;3968;-;606;3362;1049;1658;29973;16439;874
01.01.2022;12065;Oberhavel, Landkreis;157520;14509;-;14144;126337;86811;32960;141;12510;5180;3203;-;682;2521;820;1929;29892;15560;878
01.01.2022;12066;Oberspreewald-Lausitz, Landkreis;82001;6202;-;6007;65553;44411;18939;38;6418;2842;3109;-;362;2747;681;559;18137;11100;539
01.01.2022;12067;Oder-Spree, Landkreis;135543;10405;-;10141;108575;73911;30186;139;11492;4592;4028;-;625;3403;904;1457;27613;14979;838
01.01.2022;12068;Ostprignitz-Ruppin, Landkreis;76600;5943;-;5720;59034;37866;19140;136;7218;3337;3548;-;265;3283;721;814;21981;12256;407
01.01.2022;12069;Potsdam-Mittelmark, Landkreis;165529;13799;-;13371;131389;84839;40069;272;13809;5825;5030;-;530;4500;1230;2040;31420;16786;580
01.01.2022;12070;Prignitz, Landkreis;60525;3890;-;3697;46487;29496;15036;101;5692;2468;3736;-;262;3474;619;597;16274;9749;433
01.01.2022;12071;Spree-Neiße, Landkreis;90770;7143;-;6912;71078;49842;19020;103;7844;3878;3839;-;457;3382;763;650;21145;13385;587
01.01.2022;12072;Teltow-Fläming, Landkreis;135921;11949;-;11644;106104;70025;30929;175;12183;5340;3833;-;915;2918;1677;1321;25050;14238;1097
01.01.2022;12073;Uckermark, Landkreis;87950;6955;-;6704;68585;47002;18993;172;7072;3138;4300;-;457;3843;866;671;20933;11685;616
